date,runoff
2022/7/6 13:30,4627.887324
2022/7/6 13:35,4624.366197
2022/7/6 13:40,4620.84507
2022/7/6 13:45,4617.323944
2022/7/6 13:50,4613.802817
2022/7/6 13:55,4610.28169
2022/7/6 14:00,4606.760563
2022/7/6 14:05,4603.239437
2022/7/6 14:10,4599.71831
2022/7/6 14:15,4596.197183
2022/7/6 14:20,4592.676056
2022/7/6 14:25,4589.15493
2022/7/6 14:30,4585.633803
2022/7/6 14:35,4582.112676
2022/7/6 14:40,4578.591549
2022/7/6 14:45,4575.070423
2022/7/6 14:50,4571.549296
2022/7/6 14:55,4568.028169
2022/7/6 15:00,4564.507042
2022/7/6 15:05,4560.985915
2022/7/6 15:10,4557.464789
2022/7/6 15:15,4553.943662
2022/7/6 15:20,4550.422535
2022/7/6 15:25,4546.901408
2022/7/6 15:30,4543.380282
2022/7/6 15:35,4539.859155
2022/7/6 15:40,4536.338028
2022/7/6 15:45,4532.816901
2022/7/6 15:50,4529.295775
2022/7/6 15:55,4525.774648
2022/7/6 16:00,4522.253521
2022/7/6 16:05,4518.732394
2022/7/6 16:10,4515.211268
2022/7/6 16:15,4511.690141
2022/7/6 16:20,4508.169014
2022/7/6 16:25,4504.647887
2022/7/6 16:30,4501.126761
2022/7/6 16:35,4497.605634
2022/7/6 16:40,4494.084507
2022/7/6 16:45,4490.56338
2022/7/6 16:50,4487.042254
2022/7/6 16:55,4483.521127
2022/7/6 17:00,4480
2022/7/6 17:05,4242.962963
2022/7/6 17:10,4245.925926
2022/7/6 17:15,4248.888889
2022/7/6 17:20,4251.851852
2022/7/6 17:25,4254.814815
2022/7/6 17:30,4257.777778
2022/7/6 17:35,4260.740741
2022/7/6 17:40,4263.703704
2022/7/6 17:45,4266.666667
2022/7/6 17:50,4269.62963
2022/7/6 17:55,4272.592593
2022/7/6 18:00,4275.555556
2022/7/6 18:05,4278.518519
2022/7/6 18:10,4281.481481
2022/7/6 18:15,4284.444444
2022/7/6 18:20,4287.407407
2022/7/6 18:25,4290.37037
2022/7/6 18:30,4293.333333
2022/7/6 18:35,4296.296296
2022/7/6 18:40,4299.259259
2022/7/6 18:45,4302.222222
2022/7/6 18:50,4305.185185
2022/7/6 18:55,4308.148148
2022/7/6 19:00,4311.111111
2022/7/6 19:05,4314.074074
